SGG_nm,SGG_cd,BJD_nm,BJD_eng_nm,BJD_cd,y,avg_apt_age,avg_TF_large,cnt,rate_big_area_m2,pop_50_69,rate_buy,rate_welfare_recipient,avg_D_Sub
양천구,11470,목동,Mok-dong,10200,16.65220289,25.29213483,0.230769231,39,0.315979209,42289,0.089417989,2.484425557,573.5061777
양천구,11470,신월동,Sinwol-dong,10300,16.04665213,16.65,0.090909091,22,0.055297112,39866,0.180222497,5.539341632,1019.172481
강서구,11500,염창동,Yeomchang-dong,10100,16.31646248,21.39151713,0,33,0.092050623,10273,0.124,0.580734145,417.8707858
강서구,11500,등촌동,Deungchon-dong,10200,16.29507443,24.78324468,0.212121212,33,0.104091059,21761,0.137239784,8.139652351,393.4784034
강서구,11500,화곡동,Hwagok-dong,10300,16.029293,14.54843875,0.235294118,17,0.249883703,61918,0.150259965,4.45909887,584.5463079
강서구,11500,가양동,Gayang-dong,10400,16.45856197,28.36619718,0.444444444,18,0.082213607,11315.5,0.097815534,12.55990442,335.8327675
강서구,11500,마곡동,Magok-dong,10500,16.54432728,9.651474531,0.3,20,0.113697473,3758.5,0.046643247,0.941322277,373.83379
강서구,11500,내발산동,Naebalsan-dong,10600,16.24505609,17.18550107,0.181818182,11,0.07940386,10843.75,0.09623431,3.055214177,701.6454825
강서구,11500,공항동,Gonghang-dong,10800,15.97030751,11.90140845,0,1,0.139534884,1937.875,0.335294118,5.929094349,272.9079017
강서구,11500,방화동,Banghwa-dong,10900,16.15224951,22.38365494,0.121212121,33,0.103850719,23103,0.179027505,5.976117745,375.5760139
구로구,11530,신도림동,Sindorim-dong,10100,16.41104514,21.93359375,0.125,16,0.1599917,9286,0.124595469,0.572801699,382.3956792
구로구,11530,구로동,Guro-dong,10200,16.01238993,22.49531164,0.108108108,37,0.085159179,34368.5,0.209653756,2.97049865,499.6675278
구로구,11530,고척동,Gocheok-dong,10600,16.02515442,24.73076923,0.041666667,24,0.076901195,16185.5,0.168389956,4.128890223,864.0715717
구로구,11530,개봉동,Gaebong-dong,10700,16.04174582,22.38376384,0.210526316,19,0.15523247,27615.5,0.139249816,3.873788321,418.7658478
구로구,11530,오류동,Oryu-dong,10800,15.81557076,15.1010274,0,15,0.111701245,9632.5,0.253320216,5.115281654,435.9807374
구로구,11530,온수동,Onsu-dong,11000,16.06163364,13.68571429,0,1,0.235235235,3771.5,0.224334601,4.543687643,561.4057235
구로구,11530,천왕동,Cheonwang-dong,11100,16.12761586,10.87142857,0.181818182,11,0.10859427,3654.5,0.02133771,5.044670465,737.7760641
구로구,11530,항동,Hang-dong,11200,16.1266987,6.056074766,0.083333333,12,0.052916978,3654.5,0.31443299,5.044670465,1070.106967
금천구,11545,가산동,Gasan-dong,10100,16.05630008,14.1557971,0.5,2,0.160703812,5193.5,0.20202874,3.482376807,872.743062
금천구,11545,독산동,Doksan-dong,10200,16.18008699,13.80507343,0.222222222,18,0.104900881,32321.5,0.142930328,5.289699676,548.381642
금천구,11545,시흥동,Siheung-dong,10300,15.89124688,21.15571776,0.2,20,0.183875125,35399,0.212950139,6.556290422,1402.341119
영등포구,11560,영등포동,Yeongdeungpo-dong,10100,16.47645451,19.65,0.333333333,3,0.018821889,4100.638889,0.113580247,5.001686601,379.9452148
영등포구,11560,영등포동1가,Yeongdeungpo-dong 1(il)-ga,10200,16.21097289,9.502145923,0,1,0,690.8888889,0.298507463,5.319879187,371.8609109
영등포구,11560,영등포동7가,Yeongdeungpo-dong 7(chil)-ga,10800,16.55216562,11.52571429,0.333333333,3,0.116151545,690.8888889,0.125560538,5.319879187,142.2041003
영등포구,11560,영등포동8가,Yeongdeungpo-dong 8(pal)-ga,10900,16.40841377,19.52439024,0,2,0.319470699,690.8888889,0.189473684,5.319879187,394.5931334
영등포구,11560,여의도동,Yeouido-dong,11000,16.71847006,37.07982262,0.045454545,22,0.437481108,9133.5,0.115353698,0.402894643,357.8444918
영등포구,11560,당산동1가,Dangsan-dong 1(il)-ga,11100,16.44820012,24.12,0,2,0,1846.833333,0.113402062,3.024884518,349.2846582
영등포구,11560,당산동2가,Dangsan-dong 2(i)-ga,11200,16.32034634,26.01086957,0,3,0,1846.833333,0.106870229,3.024884518,211.3706964
영등포구,11560,당산동3가,Dangsan-dong 3(sam)-ga,11300,16.5021528,16.41818182,0,5,0.374401095,1846.833333,0.124600639,3.024884518,290.6443759
영등포구,11560,당산동4가,Dangsan-dong 4(sa)-ga,11400,16.5214576,22.40723982,0,9,0.123370982,2112.375,0.145856354,0.760074379,406.6254619
영등포구,11560,당산동5가,Dangsan-dong 5(o)-ga,11500,16.57724711,18.96610169,0.125,8,0.333814334,2112.375,0.101098901,0.760074379,221.0953205
영등포구,11560,당산동,Dangsan-dong,11700,16.24558041,15.36196319,0,2,0.294168842,2112.375,0.241573034,0.760074379,404.6217321
영등포구,11560,도림동,Dorim-dong,11800,16.26888788,10.49438202,0,4,0.077427822,5295,0.146511628,4.974500698,690.4733008
영등포구,11560,문래동2가,Mullae-dong 2(i)-ga,12000,16.45941297,40,0,1,0,1286.166667,0.071428571,0.816009929,365.8811737
영등포구,11560,문래동3가,Mullae-dong 3(sam)-ga,12100,16.41370787,23.46031746,0.2,5,0.333801334,1286.166667,0.123417722,0.816009929,211.5957223
영등포구,11560,문래동4가,Mullae-dong 4(sa)-ga,12200,16.26519656,20.25,0,2,0,1286.166667,0.137096774,0.816009929,468.3429189
영등포구,11560,문래동5가,Mullae-dong 5(o)-ga,12300,16.21482643,25.90789474,0,6,0.070771408,1286.166667,0.148036254,0.816009929,369.6632936
영등포구,11560,문래동6가,Mullae-dong 6(yuk)-ga,12400,16.34003905,29.17355372,0,9,0.083073323,1286.166667,0.072671443,0.816009929,554.0083138
영등포구,11560,양평동1가,Yangpyeong-dong 1(il)-ga,12500,16.43150073,20.06451613,0,3,0.039256198,1262.833333,0.036474164,1.747780923,359.1508077
영등포구,11560,양평동2가,Yangpyeong-dong 2(i)-ga,12600,16.31314775,28.63636364,0,4,0.076712329,1262.833333,0.178899083,1.747780923,369.9900233
