"year","team","name","ERA","G","W","L","SV","HLD","WPCT","IP","H","HR","BB","HBP","SO","R","ER","WHIP","CG","SHO","QS","BSV","TBF","NP","AVG","2B","3B","SAC","SF","IBB","WP","BK","GS","Wgs","Wgr","GF","SVO","TS","GDP","GO","AO","GO_AO","BABIP","P_G","P_IP","K_9","BB_9","K_BB","OBP","SLG","OPS","rank_sv","closer","is_fa","log_salary"
2020,"한화","김종수","5.94",54,1,1,1,7,"0.500",50,54,6,26,3,43,34,33,"1.60",0,0,0,1,228,941,"0.276",11,3,3,0,1,4,0,0,0,1,11,9,1,3,44,55,"0.80",0.327,17.4,"18.8","7.74","4.68","1.65",0.369,"0.454",0.823,2,"0",0,8.7160440501614
2020,"한화","장민재","6.75",24,2,7,0,0,"0.222",57.3333333333333,86,5,13,2,32,44,43,"1.73",0,0,2,0,267,975,"0.350",19,2,0,6,0,1,0,10,1,1,6,0,0,3,61,73,"0.84",0.377,40.6,"17.0","5.02","2.04","2.46",0.378,"0.504",0.882,3,"0",0,9.21034037197618
2020,"한화","박성웅","8.39",11,0,5,0,0,"0.000",24.6666666666667,30,5,16,0,19,24,23,"1.86",0,0,0,0,117,465,"0.313",6,0,2,3,0,2,0,5,0,0,5,0,0,2,14,36,"0.39",0.333,42.3,"18.9","6.93","5.84","1.19",0.4,"0.531",0.931,3,"0",0,8.10167774745457
2020,"KIA","박준표","1.57",50,7,1,6,11,"0.875",51.6666666666667,41,3,8,0,44,16,9,"0.95",0,0,0,5,205,793,"0.211",3,0,2,1,2,2,0,0,0,7,15,27,1,5,72,38,"1.89",0.257,15.9,"15.3","7.66","1.39","5.50",0.241,"0.273",0.514,2,"1",0,9.68034400122192
2020,"KIA","전상현","2.45",47,2,2,15,13,"0.500",47.6666666666667,35,4,22,0,64,21,13,"1.20",0,0,0,2,198,792,"0.207",6,1,3,4,0,2,0,0,0,2,24,30,2,5,28,46,"0.61",0.295,16.9,"16.6","12.08","4.15","2.91",0.292,"0.325",0.617,1,"1",0,9.5468126085974
2020,"KIA","정해영","3.29",47,5,4,1,11,"0.556",38.3333333333333,41,2,24,2,32,15,14,"1.70",0,0,0,3,172,681,"0.297",5,1,5,3,2,7,0,0,0,5,14,17,0,2,32,36,"0.89",0.364,14.5,"17.8","7.51","5.63","1.33",0.401,"0.391",0.792,3,"0",0,8.85366542803745
2020,"KIA","홍상삼","5.06",57,4,5,0,17,"0.444",48,32,5,54,3,61,27,27,"1.79",0,0,0,1,229,963,"0.188",11,0,1,1,0,8,0,0,0,4,4,14,0,3,41,37,"1.11",0.257,16.9,"20.1","11.44","10.13","1.13",0.39,"0.341",0.731,4,"0",0,9.10497985631836
2020,"KIA","이준영","5.32",48,0,2,0,13,"0.000",23.6666666666667,31,1,13,0,22,14,14,"1.86",0,0,0,2,113,492,"0.313",5,1,1,0,0,3,0,0,0,0,1,18,0,0,21,25,"0.84",0.395,10.3,"20.8","8.37","4.94","1.69",0.393,"0.414",0.807,4,"0",0,8.69951474821019
2020,"KIA","김기훈","5.37",22,0,4,0,1,"0.000",52,58,8,31,2,39,35,31,"1.71",0,0,0,0,238,1001,"0.293",11,1,4,3,0,3,0,7,0,0,6,0,0,5,42,62,"0.68",0.325,45.5,"19.3","6.75","5.37","1.26",0.389,"0.480",0.869,4,"0",0,8.29404964010203
2020,"KIA","고영창","6.83",48,1,1,1,2,"0.500",58,88,3,17,5,23,46,44,"1.81",0,0,0,0,275,916,"0.355",19,0,4,1,2,5,2,0,0,1,12,2,0,12,88,50,"1.76",0.381,19.1,"15.8","3.57","2.64","1.35",0.406,"0.468",0.874,3,"0",0,8.55641390456952
2020,"KIA","김현수","7.24",15,1,2,0,0,"0.333",32.3333333333333,41,3,31,2,19,27,26,"2.23",0,0,0,0,167,622,"0.313",7,3,2,1,0,1,0,4,1,0,3,0,0,4,25,47,"0.53",0.345,41.5,"19.2","5.29","8.63","0.61",0.448,"0.481",0.929,4,"0",0,8.1605182474775
2020,"KIA","양승철","7.85",15,0,0,0,0,"-",28.6666666666667,41,4,24,3,13,26,25,"2.27",0,0,0,0,144,559,"0.360",9,0,1,2,0,3,0,1,0,0,2,0,0,10,33,29,"1.14",0.374,37.3,"19.5","4.08","7.53","0.54",0.476,"0.544",1.02,4,"0",0,8.07090608878782
2020,"KIA","장현식","10.76",37,4,4,0,6,"0.500",41,64,8,22,3,26,52,49,"2.10",0,0,0,2,207,821,"0.370",14,2,2,7,0,11,0,3,0,4,5,10,0,4,42,48,"0.88",0.384,22.2,"20.0","5.71","4.83","1.18",0.434,"0.613",1.047,4,"0",0,9.25913053614561
2020,"롯데","김대우","3.10",46,0,1,0,0,"0.000",49.3333333333333,48,1,26,2,43,22,17,"1.50",0,0,0,0,216,797,"0.259",11,0,2,1,1,5,1,1,0,0,16,2,0,7,60,35,"1.71",0.331,17.3,"16.2","7.84","4.74","1.65",0.355,"0.335",0.69,2,"0",0,8.51719319141624
2020,"롯데","구승민","3.58",57,5,2,0,20,"0.714",60.3333333333333,40,8,26,0,58,25,24,"1.09",0,0,0,3,238,974,"0.193",9,0,4,1,2,1,0,0,0,5,3,25,0,6,45,65,"0.69",0.225,17.1,"16.1","8.65","3.88","2.23",0.282,"0.353",0.635,2,"0",0,9.61580548008435
2020,"롯데","오현택","3.75",48,3,1,0,7,"0.750",36,37,5,8,2,17,15,15,"1.25",0,0,0,1,152,575,"0.262",6,1,1,0,1,1,0,0,0,3,10,6,0,3,40,47,"0.85",0.269,12,"16.0","4.25","2.00","2.13",0.311,"0.426",0.737,2,"0",0,8.9226582995244
2020,"롯데","김원중","3.94",58,5,4,25,0,"0.556",59.3333333333333,52,8,23,0,57,29,26,"1.26",0,0,0,8,249,966,"0.235",14,1,2,3,5,1,0,0,0,5,47,33,2,4,49,66,"0.74",0.277,16.7,"16.3","8.65","3.49","2.48",0.304,"0.416",0.72,1,"1",0,9.74096862303835
2020,"롯데","이인복","3.97",47,1,4,0,2,"0.200",45.3333333333333,57,2,12,1,21,22,20,"1.52",0,0,0,1,199,681,"0.315",9,0,4,1,1,2,0,1,0,1,9,3,0,7,69,35,"1.97",0.346,14.5,"15.0","4.17","2.38","1.75",0.359,"0.398",0.757,2,"0",0,8.47637119689598
2020,"롯데","김건국","3.98",32,3,2,0,1,"0.600",31.6666666666667,30,2,9,3,31,14,14,"1.23",0,0,0,1,139,546,"0.238",5,2,0,1,0,4,0,0,0,3,5,3,0,2,39,27,"1.44",0.298,17.1,"17.2","8.81","2.56","3.44",0.302,"0.357",0.659,2,"0",0,8.69951474821019
